,City,Cloudy,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,boueni,40,YT,1575940937,94,-12.9,45.08,80.6,9.17
1,panzhihua,0,CN,1575940937,89,26.59,101.72,35.83,1.16
2,tiarei,90,PF,1575940937,88,-17.53,-149.33,77.0,3.36
3,new norfolk,75,LR,1575940844,94,6.65,-10.59,75.2,3.36
4,delta del tigre,1,US,1575940937,55,38.74,-108.07,39.2,3.36
5,nikolskoye,75,RU,1575940937,80,59.7,30.79,42.01,6.71
6,kimberley,65,ZA,1575940937,88,-28.74,24.76,62.6,2.24
7,rikitea,100,PF,1575940938,87,-23.12,-134.97,74.43,28.59
8,anadyr,20,RU,1575940938,74,64.73,177.51,28.4,24.61
9,cidreira,0,BR,1575940938,83,-30.17,-50.22,73.18,4.99
10,itumba,100,TZ,1575940939,97,-9.4,33.18,62.74,2.42
11,gamba,1,CN,1575940939,18,28.28,88.52,17.46,1.32
12,georgetown,20,GY,1575940785,94,6.8,-58.16,77.0,6.93
13,ponta do sol,90,BR,1575940939,73,-0.53,-65.05,79.21,1.9
14,morondava,100,MG,1575940939,89,-20.3,44.28,74.21,2.13
15,saskylakh,82,RU,1575940939,98,71.97,114.09,-19.84,5.35
16,guerrero negro,93,AR,1575940939,68,-24.19,-65.45,71.6,4.7
17,avarua,100,CK,1575940939,83,-21.21,-159.78,78.8,16.11
18,albany,90,US,1575940789,87,42.65,-73.75,51.8,17.22
19,wawa,10,NG,1575940939,33,9.9,4.41,76.59,5.61
20,vaini,24,IN,1575940939,88,15.34,74.49,64.4,3.36
21,puerto ayora,40,AR,1575940940,76,-51.62,-69.23,51.8,31.09
22,kodiak,1,US,1575940940,62,39.95,-94.76,21.99,10.29
23,ryde,1,GB,1575940940,67,50.73,-1.16,37.4,3.36
24,apple valley,90,US,1575940940,71,34.13,-95.42,52.0,17.22
25,ilulissat,0,GL,1575940918,59,69.22,-51.1,-0.4,1.12
26,strezhevoy,90,RU,1575940940,86,60.73,77.6,30.2,13.42
27,port alfred,92,CD,1575940940,69,-7.04,29.76,76.08,9.86
28,hermanus,39,ZA,1575940940,73,-34.42,19.24,64.99,24.36
29,ushuaia,40,AR,1575940940,70,-54.81,-68.31,46.4,33.33
30,awjilah,17,LY,1575940940,36,29.14,21.3,59.22,11.5
31,arraial do cabo,40,BR,1575940940,78,-22.84,-46.65,73.4,4.7
32,ilebo,100,CD,1575940940,99,-4.33,20.59,67.95,3.42
33,angoram,100,PG,1575940940,69,-4.06,144.07,85.93,1.79
34,atuona,100,PF,1575940940,56,-9.8,-139.03,80.56,7.09
35,kapaa,1,US,1575940799,78,22.08,-159.32,82.4,8.05
36,qinzhou,0,CN,1575940941,43,21.96,108.62,52.36,3.69
37,balkhash,84,KZ,1575940941,77,46.84,74.98,26.46,9.6
38,sitka,91,US,1575940941,31,37.17,-99.65,38.84,7.45
39,hambantota,40,LK,1575940941,100,6.12,81.12,71.6,2.24
40,hualmay,98,PE,1575940361,79,-11.1,-77.61,66.99,5.68
41,punta arenas,40,PH,1575940941,69,14.18,121.12,82.99,2.24
42,fort saint john,14,IN,1575940927,95,17.96,79.61,65.37,3.65
43,san luis,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
44,santa fe,0,PH,1575940942,75,17.49,120.43,70.77,4.65
45,vila velha,25,IT,1575940942,41,45.18,8.4,46.0,17.22
46,bredasdorp,94,ZA,1575940942,72,-34.53,20.04,66.2,17.22
47,beringovskiy,100,RU,1575940942,95,63.05,179.32,13.68,22.19
48,aljezur,1,PT,1575940861,91,37.31,-8.8,55.0,6.44
49,bethel,75,US,1575940881,60,60.79,-161.76,42.8,29.97
50,jacksonville beach,1,US,1575940813,82,30.33,-81.66,68.0,6.44
51,busselton,50,AU,1575940942,21,-33.64,115.35,80.01,10.27
52,cape town,26,CL,1575940942,59,-36.41,-71.9,66.2,5.82
53,hami,72,CN,1575940814,62,42.84,93.51,21.22,1.07
54,dauphin,40,CA,1575940942,69,51.15,-100.04,-7.6,16.11
55,kloulklubed,40,PW,1575940942,70,7.04,134.26,84.2,9.17
56,abalak,0,NE,1575940942,15,15.46,6.28,69.44,9.13
57,tiksi,100,RU,1575940943,96,71.64,128.87,-16.83,2.86
58,barrow,0,AR,1575940943,38,-38.31,-60.23,69.21,6.38
59,necochea,0,AR,1575940943,76,-38.55,-58.74,68.0,6.49
60,codrington,9,AU,1575940943,36,-28.95,153.24,93.2,12.75
61,lorengau,0,PG,1575940943,70,-2.02,147.27,83.32,0.04
62,jacareacanga,83,BR,1575940943,96,-6.22,-57.76,74.48,0.31
63,cabo san lucas,84,ES,1575940943,87,43.18,-5.8,48.99,2.24
64,saint-louis,100,SN,1575940943,73,16.03,-16.5,69.8,4.7
65,aksu,90,KZ,1575940367,100,52.04,76.93,21.2,11.18
66,talnakh,75,RU,1575940943,78,69.49,88.39,8.6,29.08
67,chokurdakh,96,RU,1575940943,98,70.62,147.9,-16.11,4.21
68,thompson,5,CA,1575940943,67,55.74,-97.86,-23.8,6.93
69,ruma,83,RS,1575940943,93,45.01,19.82,44.6,4.7
70,upernavik,0,GL,1575940944,47,72.79,-56.15,0.01,5.35
71,pevek,100,RU,1575940944,95,69.7,170.27,3.4,8.25
72,inhambane,100,MZ,1575940944,76,-23.87,35.38,77.54,10.25
73,saint-philippe,90,CA,1575940944,100,45.36,-73.48,45.0,18.34
74,santa cruz,0,PH,1575940944,75,17.49,120.43,70.77,4.65
75,chunoyar,91,RU,1575940944,91,57.45,97.32,-0.47,4.23
76,komsomolskiy,100,RU,1575940944,96,67.55,63.78,24.62,14.83
77,tasiilaq,98,GL,1575940944,67,65.61,-37.64,21.2,12.75
78,kaitangata,99,NZ,1575940944,74,-46.28,169.85,55.99,5.99
79,garowe,73,SO,1575940944,76,8.41,48.48,73.53,7.34
80,geraldton,90,CA,1575940944,76,49.72,-86.95,-7.6,5.82
81,marsh harbour,24,GB,1575940945,93,53.65,-1.81,39.0,10.29
82,butaritari,43,KI,1575940945,66,3.07,172.79,83.97,5.66
83,atar,80,MR,1575940945,21,20.52,-13.05,68.31,12.88
84,nemuro,75,JP,1575940945,80,43.32,145.57,37.4,2.24
85,ichnya,44,UA,1575940945,93,50.86,32.39,33.3,9.51
86,lakki marwat,40,GR,1575940945,100,35.4,23.94,61.0,2.3
87,avera,1,US,1575940945,94,33.19,-82.53,68.0,3.36
88,bonavista,96,CA,1575940945,88,48.65,-53.11,39.0,8.99
89,iqaluit,75,CA,1575940945,66,63.75,-68.52,12.2,6.93
90,yulara,3,AU,1575940945,15,-25.24,130.99,95.0,21.92
91,mahebourg,20,MU,1575940945,94,-20.41,57.7,78.01,4.7
92,morro bay,97,EC,1575940946,74,-2.63,-80.33,78.01,1.01
93,roebourne,0,AU,1575940946,14,-20.77,117.15,95.02,5.48
94,jamestown,47,AU,1575940946,35,-33.21,138.6,76.89,5.1
95,cururupu,10,BR,1575940349,93,-1.82,-44.87,73.85,2.48
96,soe,83,EE,1575940946,80,57.91,26.05,41.0,16.11
97,najran,0,SA,1575940946,60,17.54,44.22,69.8,2.24
98,mitu,87,IR,1575940946,93,36.2,46.09,25.93,3.02
99,cherskiy,100,RU,1575940946,98,68.75,161.3,-11.45,10.94
100,nelson bay,81,CA,1575940946,73,49.49,-117.29,18.95,0.07
101,luderitz,0,NA,1575940946,88,-26.65,15.16,62.6,4.7
102,dingli,0,IN,1575940946,44,28.39,75.51,57.51,1.95
103,hilo,20,US,1575940682,69,19.71,-155.08,82.4,10.29
104,kavieng,74,PG,1575940946,68,-2.57,150.8,84.87,5.37
105,castro,90,CL,1575940947,71,-42.48,-73.76,57.2,4.7
106,deyang,0,CN,1575940947,51,31.12,104.39,53.01,0.94
107,kpandae,47,GH,1575940947,45,8.46,-0.01,81.54,1.25
108,estacion coahuila,40,PH,1575940947,65,15.7,120.61,78.8,6.93
109,cayenne,2,GF,1575940947,94,4.94,-52.33,77.0,2.24
110,tokur,100,RU,1575940947,97,53.13,132.9,0.14,1.68
111,eirunepe,97,BR,1575940948,86,-6.66,-69.87,77.5,3.11
112,lazaro cardenas,40,MX,1575940948,55,29.05,-111.04,66.2,8.05
113,severo-kurilsk,92,RU,1575940948,79,50.68,156.12,22.14,25.59
114,qaanaaq,0,GL,1575940948,53,77.48,-69.36,-7.67,4.52
115,ngaoundere,0,CM,1575940948,25,7.32,13.58,64.81,3.36
116,east london,74,UG,1575940948,65,3.43,31.7,72.93,0.72
117,ostrovnoy,100,RU,1575940948,96,68.05,39.51,27.66,12.48
118,vila franca do campo,25,IT,1575940942,41,45.18,8.4,46.0,17.22
119,khatanga,0,RU,1575940948,88,71.98,102.47,-7.08,9.93
120,srednekolymsk,100,RU,1575940948,96,67.46,153.71,-21.84,9.1
121,kaduna,18,NG,1575940948,22,10.52,7.44,66.51,6.67
122,tsabong,0,BW,1575940948,49,-26.02,22.4,71.71,7.67
123,viedma,51,AR,1575940949,31,-40.81,-62.99,71.62,9.06
124,genhe,0,CN,1575940949,97,50.78,121.52,-16.26,1.92
125,batagay-alyta,100,RU,1575940949,81,67.8,130.41,-14.35,4.99
126,tura,10,RU,1575940949,98,64.27,100.22,-17.18,4.94
127,port hawkesbury,92,CD,1575940949,69,-7.04,29.76,76.08,9.86
128,anchorage,90,US,1575940949,70,61.22,-149.89,46.4,32.21
129,solnechnyy,100,RU,1575940949,98,50.72,136.64,3.9,2.55
130,constitucion,75,MX,1575940949,20,23.99,-104.67,66.2,9.17
131,rawlins,1,US,1575940949,73,41.79,-107.24,23.0,20.8
132,sevierville,90,US,1575940949,60,35.87,-83.56,68.0,11.41
133,armidale,0,AU,1575940949,18,-30.51,151.67,87.01,5.01
134,bubaque,100,GW,1575940949,67,11.28,-15.83,82.09,8.52
135,kirakira,55,SB,1575940949,68,-10.46,161.92,84.88,5.99
136,mount isa,24,GB,1575940950,93,53.66,-1.85,39.0,10.29
137,tautira,90,PF,1575940950,88,-17.73,-149.15,77.0,3.36
138,mataura,98,NZ,1575940950,65,-46.19,168.86,55.51,2.73
139,okhotsk,18,RU,1575940950,68,59.36,143.24,-9.83,8.41
140,palmer,20,AU,1575940950,46,-34.85,139.16,72.0,11.41
141,saldanha,79,PT,1575940950,82,41.42,-6.55,39.2,3.24
142,tours,0,FR,1575940950,100,47.39,0.69,36.0,2.24
143,khash,23,IR,1575940950,93,28.22,61.21,52.09,10.0
144,praia da vitoria,100,BR,1575940950,83,-20.25,-43.81,71.6,8.05
145,namibe,27,AO,1575940950,74,-15.19,12.15,71.92,10.63
146,araouane,100,ML,1575940950,21,18.9,-3.53,71.22,14.76
147,mar del plata,75,CN,1575940950,20,29.86,90.73,12.56,3.2
148,jalu,17,LY,1575940950,36,29.03,21.55,59.22,11.5
149,gravdal,30,NO,1575940951,75,59.79,5.78,34.0,2.24
150,labuhan,77,ID,1575940951,84,-2.54,115.51,79.16,1.19
151,hithadhoo,43,MV,1575940866,80,-0.6,73.08,82.22,14.27
152,kattivakkam,40,IN,1575940951,94,13.22,80.32,79.0,11.3
153,siguiri,35,GN,1575940951,20,11.42,-9.17,73.08,4.14
154,zabid,3,YE,1575940951,87,14.2,44.5,59.56,2.13
155,mbini,59,GQ,1575940951,83,1.58,9.62,79.95,7.63
156,port macquarie,92,CD,1575940949,69,-7.04,29.76,76.08,9.86
157,zhezkazgan,40,KZ,1575940951,92,47.8,67.71,19.4,6.71
158,norman wells,1,US,1575940951,47,35.22,-97.44,37.99,19.46
159,sao filipe,22,IN,1575940791,60,20.51,76.21,64.94,3.58
160,torbay,90,CA,1575940952,93,47.66,-52.73,39.99,17.22
161,sabha,2,LY,1575940952,58,27.03,14.43,56.14,9.62
162,port elizabeth,92,CD,1575940949,69,-7.04,29.76,76.08,9.86
163,bayji,100,IQ,1575940952,72,34.93,43.49,52.75,14.0
164,tuktoyaktuk,20,CA,1575940952,75,69.44,-133.03,-14.8,11.41
165,vardo,90,US,1575940952,87,39.62,-77.74,50.0,10.29
166,sungairaya,88,ID,1575940952,93,0.7,108.9,75.92,2.13
167,yerbogachen,48,RU,1575940952,98,61.28,108.01,-12.26,4.03
168,san policarpo,5,ML,1575940731,11,13.3,-4.9,71.49,8.01
169,rio grande,90,US,1575940952,79,41.11,-90.4,24.01,23.04
170,raudeberg,89,NO,1575940354,86,61.99,5.14,33.8,9.17
171,gat,100,SN,1575940953,64,14.69,-16.54,73.4,16.11
172,port-cartier,90,CA,1575940953,95,50.03,-66.88,32.0,11.41
173,bluff,12,AU,1575940953,33,-23.58,149.07,87.85,13.4
174,hasaki,40,JP,1575940953,87,35.73,140.83,55.0,6.93
175,port augusta,92,CD,1575940953,69,-7.04,29.76,76.08,9.86
176,marion,90,US,1575940953,82,35.21,-90.2,66.2,4.7
177,tuatapere,100,NZ,1575940953,39,-46.13,167.69,66.06,3.89
178,ribeira grande,88,PT,1575940954,93,41.76,-8.56,50.0,1.12
179,sao joao da barra,22,IN,1575940954,60,20.51,76.21,64.94,3.58
180,bagdarin,100,RU,1575940954,88,54.44,113.59,-3.42,4.38
181,tierralta,34,CO,1575940954,95,8.17,-76.06,72.88,1.7
182,san rafael,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
183,ilhabela,100,BR,1575940764,83,-23.78,-45.36,72.03,5.3
184,pisco,88,PE,1575940954,88,-13.71,-76.2,68.0,16.11
185,chuy,4,UY,1575940954,78,-33.69,-53.46,66.65,5.88
186,karratha,0,AU,1575940954,63,-20.74,116.85,83.3,7.78
187,esperance,22,AU,1575940954,59,-33.86,121.89,64.4,9.17
188,praia,100,BR,1575940954,83,-20.25,-43.81,71.6,8.05
189,wanning,75,AT,1575940955,93,48.64,13.53,42.01,13.87
190,ossora,93,RU,1575940955,71,59.24,163.07,7.56,3.67
191,vilhena,75,BR,1575940955,89,-12.74,-60.15,70.2,2.35
192,bereda,77,ES,1575940955,100,43.27,-7.54,46.0,4.7
193,zyryanovsk,0,KZ,1575940955,76,49.74,84.27,11.59,1.81
194,laguna,40,BZ,1575940956,88,16.17,-88.94,77.0,2.93
195,caravelas,0,BR,1575940956,93,-17.73,-39.27,73.18,6.08
196,suntar,96,RU,1575940956,96,62.16,117.65,-19.12,3.96
197,san cristobal,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
198,marathon,100,CA,1575940957,100,48.72,-86.38,6.62,30.36
199,hobart,75,AU,1575940744,33,-42.88,147.33,69.01,14.99
200,belmonte,91,PT,1575940957,78,40.36,-7.35,42.01,3.56
201,susehri,3,TR,1575940958,85,40.16,38.09,18.63,3.42
202,knysna,16,ZA,1575940958,93,-34.04,23.05,57.2,5.82
203,hofn,100,IS,1575940958,88,64.25,-15.21,41.54,5.99
204,sitborice,90,CZ,1575940958,100,49.01,16.78,37.0,4.7
205,mindelo,20,PT,1575940958,100,41.31,-8.72,46.99,6.93
206,nuuk,93,GL,1575940958,54,64.17,-51.74,30.2,10.29
207,broome,30,GB,1575940958,84,52.47,1.45,35.01,5.82
208,tual,100,ID,1575940958,69,-5.67,132.75,83.55,5.44
209,port hardy,92,CD,1575940949,69,-7.04,29.76,76.08,9.86
210,stoke-on-trent,29,GB,1575940958,86,53.02,-2.18,39.99,3.36
211,ulaanbaatar,20,MN,1575940958,77,47.92,106.92,-2.2,4.47
212,matabungkay,43,PH,1575940959,76,13.95,120.62,77.81,9.55
213,mys shmidta,100,RU,1575940959,95,62.06,48.62,36.41,12.3
214,soyo,49,AO,1575940959,81,-6.13,12.37,76.51,4.63
215,astoria,1,US,1575940959,87,46.19,-123.83,46.0,5.82
216,kashan,26,IR,1575940959,45,33.99,51.44,45.27,0.54
217,jos,22,NG,1575940959,27,9.92,8.9,61.2,2.24
218,lebork,75,PL,1575940959,86,54.54,17.75,43.0,11.41
219,dakar,100,SN,1575940959,83,14.69,-17.45,71.6,4.7
220,mount pleasant,24,GB,1575940950,93,53.66,-1.85,39.0,10.29
221,verkhnyaya inta,99,RU,1575940959,90,60.98,40.21,37.45,13.94
222,cockburn town,25,AU,1575940959,26,-32.08,141.0,84.2,17.22
223,longyearbyen,75,NO,1575940959,77,78.22,15.63,-0.4,10.29
224,lovozero,100,RU,1575940959,95,68.01,35.02,18.64,8.39
225,san quintin,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
226,buraydah,40,SA,1575940960,100,26.33,43.97,57.2,4.7
227,hovd,90,NO,1575940960,82,63.83,10.7,37.0,19.46
228,katsuura,75,JP,1575940960,71,33.93,134.5,51.8,6.93
229,saint-joseph,96,FR,1575940960,49,43.56,6.97,51.01,3.36
230,touros,20,BR,1575940960,83,-5.2,-35.46,75.2,4.7
231,lebu,75,ET,1575940960,87,8.96,38.73,57.2,3.36
232,maksi,57,LV,1575940960,88,56.95,27.73,38.52,10.29
233,rafaela,2,AR,1575940961,36,-31.25,-61.49,81.0,1.01
234,carnarvon,92,ZA,1575940961,62,-30.97,22.13,62.58,10.65
235,santa cruz de la palma,0,PH,1575940961,75,17.49,120.43,70.77,4.65
236,ambon,0,FR,1575940961,93,47.55,-2.56,42.01,1.12
237,sinnamary,19,GF,1575940961,81,5.38,-52.96,81.14,19.06
238,bilibino,100,RU,1575940961,99,68.06,166.44,-19.19,3.53
239,vostok,99,RU,1575940962,95,46.45,135.83,22.84,4.47
240,grand gaube,75,FR,1575940962,93,48.39,5.49,39.2,6.93
241,namatanai,99,PG,1575940962,70,-3.66,152.44,83.93,6.24
242,riyadh,75,SA,1575940962,88,24.63,46.72,62.6,8.05
243,narsaq,100,GL,1575940962,73,60.91,-46.05,26.6,1.12
244,gulabpura,0,IN,1575940962,63,25.91,74.66,54.19,2.46
245,guarapari,75,BR,1575940962,88,-20.67,-40.5,77.0,3.36
246,vanimo,100,PG,1575940962,78,-2.67,141.3,81.95,11.32
247,adrar,0,DZ,1575940962,53,27.87,-0.29,50.0,10.29
248,clyde river,100,NZ,1575940962,62,-45.19,169.32,63.0,1.01
249,san andres,5,ML,1575940779,11,13.3,-4.9,71.49,8.01
250,itoman,75,JP,1575940962,56,26.12,127.67,73.4,16.11
251,balikpapan,100,ID,1575940962,77,-1.24,116.86,80.08,2.13
252,tokonou,28,GN,1575940963,44,9.65,-9.78,70.7,1.52
253,gorontalo,100,ID,1575940963,85,0.54,123.06,78.76,4.0
254,nanortalik,100,GL,1575940963,69,60.14,-45.24,31.35,2.93
255,yellowknife,5,CA,1575940920,66,62.45,-114.38,-29.0,3.36
256,sergeyevka,1,KZ,1575940963,91,53.88,67.42,17.58,7.09
257,aklavik,90,CA,1575940963,77,68.22,-135.01,-2.2,9.17
258,marsabit,52,KE,1575940963,67,2.34,37.99,74.93,11.9
259,kavaratti,30,IN,1575940964,74,10.57,72.64,81.84,5.79
260,champerico,5,MX,1575940964,57,16.38,-93.6,78.8,3.36
261,juegang,58,CN,1575940964,93,32.31,121.18,51.01,7.78
262,coquimbo,20,CL,1575940964,82,-29.95,-71.34,57.2,8.05
263,muzaffarabad,68,PK,1575940761,31,34.37,73.47,39.81,8.23
264,grand centre,75,FR,1575940964,93,48.39,5.49,39.2,6.93
265,faanui,94,PF,1575940964,66,-16.48,-151.75,81.61,4.27
266,baykit,100,RU,1575940964,94,61.68,96.39,-6.93,2.26
267,caibarien,20,CU,1575940965,88,22.52,-79.47,77.0,6.93
268,gannan,0,CN,1575940965,80,47.92,123.49,-1.08,2.15
269,winchester,13,GB,1575940878,86,51.06,-1.31,36.0,3.36
270,tabou,7,CI,1575940965,88,4.42,-7.36,77.4,3.13
271,marawi,100,PH,1575940965,78,8.0,124.29,82.99,4.0
